TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
com.github.sarxos.webcam.ds.openimaj.OpenImajDevice,MTHD_PROB_RISK,0.0,1,1
com.github.sarxos.webcam.ds.openimaj.OpenImajDevice,MTHD_PROB_RISK,0.0,1,1
com.github.sarxos.webcam.ds.openimaj.OpenImajDevice,MTHD_PROB_RISK,0.0,1,0
com.github.sarxos.webcam.ds.openimaj.OpenImajDevice,MTHD_PROB_RISK,0.0,1,0
com.github.sarxos.webcam.ds.openimaj.OpenImajDevice,MTHD_PROB_RISK,0.0,1,0
com.github.sarxos.webcam.ds.openimaj.OpenImajDevice,MTHD_PROB_RISK,0.0,1,0
com.github.sarxos.webcam.ds.openimaj.OpenImajDevice,MTHD_PROB_RISK,0.0,1,0
com.github.sarxos.webcam.ds.openimaj.OpenImajDevice,MTHD_PROB_RISK,0.0,1,0
com.github.sarxos.webcam.ds.openimaj.OpenImajDevice,MTHD_PROB_RISK,0.0,1,1
com.github.sarxos.webcam.ds.openimaj.OpenImajDevice,MTHD_PROB_RISK,0.0,1,1
com.github.sarxos.webcam.ds.openimaj.OpenImajDevice,MTHD_PROB_RISK,0.0,1,1
com.github.sarxos.webcam.ds.openimaj.OpenImajDevice,MTHD_PROB_RISK,0.0,1,1
com.github.sarxos.webcam.ds.openimaj.OpenImajDevice,MTHD_PROB_RISK,0.0,1,1
com.github.sarxos.webcam.ds.openimaj.OpenImajDevice,MTHD_PROB_RISK,0.0,1,1
com.github.sarxos.webcam.ds.openimaj.OpenImajDevice,MTHD_PROB_RISK,0.0,1,1
com.github.sarxos.webcam.ds.openimaj.OpenImajDevice,MTHD_PROB_RISK,0.0,1,1
